[I1203 solver.cpp:310]Iteration 1, loss = 11.968787
[I1203 solver.cpp:310]Iteration 2, loss = 11.741830
[I1203 solver.cpp:310]Iteration 3, loss = 11.272429
[I1203 solver.cpp:310]Iteration 4, loss = 10.357812
[I1203 solver.cpp:310]Iteration 5, loss = 9.379642
[I1203 solver.cpp:310]Iteration 6, loss = 8.457173
[I1203 solver.cpp:310]Iteration 7, loss = 7.986148
[I1203 solver.cpp:310]Iteration 8, loss = 7.864499
[I1203 solver.cpp:310]Iteration 9, loss = 7.382222
[I1203 solver.cpp:310]Iteration 10, loss = 6.648874
[I1203 solver.cpp:310]Iteration 11, loss = 5.988883
[I1203 solver.cpp:310]Iteration 12, loss = 5.396476
[I1203 solver.cpp:310]Iteration 13, loss = 4.862289
[I1203 solver.cpp:310]Iteration 14, loss = 4.760952
[I1203 solver.cpp:310]Iteration 15, loss = 4.909708
[I1203 solver.cpp:310]Iteration 16, loss = 4.423093
[I1203 solver.cpp:310]Iteration 17, loss = 3.985787
[I1203 solver.cpp:310]Iteration 18, loss = 3.864439
[I1203 solver.cpp:310]Iteration 19, loss = 3.484078
[I1203 solver.cpp:310]Iteration 20, loss = 3.141723
[I1203 solver.cpp:310]Iteration 21, loss = 3.533403
[I1203 solver.cpp:310]Iteration 22, loss = 3.419015
[I1203 solver.cpp:310]Iteration 23, loss = 5.817804
[I1203 solver.cpp:310]Iteration 24, loss = 5.242523
[I1203 solver.cpp:310]Iteration 25, loss = 4.723789
[I1203 solver.cpp:310]Iteration 26, loss = 4.258420
[I1203 solver.cpp:310]Iteration 27, loss = 3.857168
[I1203 solver.cpp:310]Iteration 28, loss = 3.478584
[I1203 solver.cpp:310]Iteration 29, loss = 3.136826
[I1203 solver.cpp:310]Iteration 30, loss = 2.852708
[I1203 solver.cpp:310]Iteration 31, loss = 2.596852
[I1203 solver.cpp:310]Iteration 32, loss = 2.421836
[I1203 solver.cpp:310]Iteration 33, loss = 2.182654
[I1203 solver.cpp:310]Iteration 34, loss = 1.967018
[I1203 solver.cpp:310]Iteration 35, loss = 1.772436
[I1203 solver.cpp:310]Iteration 36, loss = 1.597703
[I1203 solver.cpp:310]Iteration 37, loss = 1.760381
[I1203 solver.cpp:310]Iteration 38, loss = 1.630615
[I1203 solver.cpp:310]Iteration 39, loss = 1.469213
[I1203 solver.cpp:310]Iteration 40, loss = 1.323782
[I1203 solver.cpp:310]Iteration 41, loss = 1.431209
[I1203 solver.cpp:310]Iteration 42, loss = 1.289406
[I1203 solver.cpp:310]Iteration 43, loss = 1.161830
[I1203 solver.cpp:310]Iteration 44, loss = 1.046847
[I1203 solver.cpp:310]Iteration 45, loss = 0.943398
[I1203 solver.cpp:310]Iteration 46, loss = 0.850256
[I1203 solver.cpp:310]Iteration 47, loss = 0.766378
[I1203 solver.cpp:310]Iteration 48, loss = 0.690907
[I1203 solver.cpp:310]Iteration 49, loss = 0.645135
[I1203 solver.cpp:310]Iteration 50, loss = 0.803206
[I1203 solver.cpp:310]Iteration 51, loss = 0.723821
[I1203 solver.cpp:310]Iteration 52, loss = 0.733906
[I1203 solver.cpp:310]Iteration 53, loss = 0.661443
[I1203 solver.cpp:310]Iteration 54, loss = 0.596164
[I1203 solver.cpp:310]Iteration 55, loss = 0.537530
[I1203 solver.cpp:310]Iteration 56, loss = 0.484591
[I1203 solver.cpp:310]Iteration 57, loss = 0.437022
[I1203 solver.cpp:310]Iteration 58, loss = 0.472792
[I1203 solver.cpp:310]Iteration 59, loss = 0.426269
[I1203 solver.cpp:310]Iteration 60, loss = 0.384388
[I1203 solver.cpp:310]Iteration 61, loss = 0.346551
[I1203 solver.cpp:310]Iteration 62, loss = 0.312525
[I1203 solver.cpp:310]Iteration 63, loss = 0.281928
[I1203 solver.cpp:310]Iteration 64, loss = 0.254373
[I1203 solver.cpp:310]Iteration 65, loss = 0.229659
[I1203 solver.cpp:310]Iteration 66, loss = 0.375722
[I1203 solver.cpp:310]Iteration 67, loss = 0.338830
[I1203 solver.cpp:310]Iteration 68, loss = 0.305655
[I1203 solver.cpp:310]Iteration 69, loss = 0.275860
[I1203 solver.cpp:310]Iteration 70, loss = 0.248952
[I1203 solver.cpp:310]Iteration 71, loss = 0.241769
[I1203 solver.cpp:310]Iteration 72, loss = 0.318385
[I1203 solver.cpp:310]Iteration 73, loss = 0.365435
[I1203 solver.cpp:310]Iteration 74, loss = 0.329516
[I1203 solver.cpp:310]Iteration 75, loss = 0.317434
[I1203 solver.cpp:310]Iteration 76, loss = 0.309252
[I1203 solver.cpp:310]Iteration 77, loss = 0.287471
[I1203 solver.cpp:310]Iteration 78, loss = 0.259372
[I1203 solver.cpp:310]Iteration 79, loss = 0.234025
[I1203 solver.cpp:310]Iteration 80, loss = 0.211213
[I1203 solver.cpp:310]Iteration 81, loss = 0.190658
[I1203 solver.cpp:310]Iteration 82, loss = 0.172221
[I1203 solver.cpp:310]Iteration 83, loss = 0.155653
[I1203 solver.cpp:310]Iteration 84, loss = 0.140596
[I1203 solver.cpp:310]Iteration 85, loss = 0.127155
[I1203 solver.cpp:310]Iteration 86, loss = 0.201875
[I1203 solver.cpp:310]Iteration 87, loss = 0.182147
[I1203 solver.cpp:310]Iteration 88, loss = 0.271375
[I1203 solver.cpp:310]Iteration 89, loss = 0.244828
[I1203 solver.cpp:310]Iteration 90, loss = 0.220868
[I1203 solver.cpp:310]Iteration 91, loss = 0.240445
[I1203 solver.cpp:310]Iteration 92, loss = 0.359970
[I1203 solver.cpp:310]Iteration 93, loss = 0.441731
[I1203 solver.cpp:310]Iteration 94, loss = 0.533215
[I1203 solver.cpp:310]Iteration 95, loss = 0.480431
[I1203 solver.cpp:310]Iteration 96, loss = 0.432978
[I1203 solver.cpp:310]Iteration 97, loss = 0.390321
[I1203 solver.cpp:310]Iteration 98, loss = 0.352057
[I1203 solver.cpp:310]Iteration 99, loss = 0.317582
[I1203 solver.cpp:310]Iteration 100, loss = 0.286494
[I1203 solver.cpp:310]Iteration 101, loss = 0.258674
[I1203 solver.cpp:310]Iteration 102, loss = 0.461543
[I1203 solver.cpp:310]Iteration 103, loss = 0.416373
[I1203 solver.cpp:310]Iteration 104, loss = 0.375757
[I1203 solver.cpp:310]Iteration 105, loss = 0.339368
[I1203 solver.cpp:310]Iteration 106, loss = 0.306545
[I1203 solver.cpp:310]Iteration 107, loss = 0.297865
[I1203 solver.cpp:310]Iteration 108, loss = 0.269087
[I1203 solver.cpp:310]Iteration 109, loss = 0.243094
[I1203 solver.cpp:310]Iteration 110, loss = 0.219411
[I1203 solver.cpp:310]Iteration 111, loss = 0.283943
[I1203 solver.cpp:310]Iteration 112, loss = 0.453024
[I1203 solver.cpp:310]Iteration 113, loss = 0.408524
[I1203 solver.cpp:310]Iteration 114, loss = 0.368323
[I1203 solver.cpp:310]Iteration 115, loss = 0.332333
[I1203 solver.cpp:310]Iteration 116, loss = 0.315992
[I1203 solver.cpp:310]Iteration 117, loss = 0.285192
[I1203 solver.cpp:310]Iteration 118, loss = 0.257568
[I1203 solver.cpp:310]Iteration 119, loss = 0.232578
[I1203 solver.cpp:310]Iteration 120, loss = 0.209923
[I1203 solver.cpp:310]Iteration 121, loss = 1.521452
[I1203 solver.cpp:310]Iteration 122, loss = 1.370379
[I1203 solver.cpp:310]Iteration 123, loss = 1.235428
[I1203 solver.cpp:310]Iteration 124, loss = 1.152928
[I1203 solver.cpp:310]Iteration 125, loss = 1.187178
[I1203 solver.cpp:310]Iteration 126, loss = 2.097623
[I1203 solver.cpp:310]Iteration 127, loss = 1.890617
[I1203 solver.cpp:310]Iteration 128, loss = 1.703224
[I1203 solver.cpp:310]Iteration 129, loss = 1.846816
[I1203 solver.cpp:310]Iteration 130, loss = 1.663866
[I1203 solver.cpp:310]Iteration 131, loss = 1.499830
[I1203 solver.cpp:310]Iteration 132, loss = 1.352054
[I1203 solver.cpp:310]Iteration 133, loss = 1.218920
[I1203 solver.cpp:310]Iteration 134, loss = 1.099257
[I1203 solver.cpp:310]Iteration 135, loss = 0.991847
[I1203 solver.cpp:310]Iteration 136, loss = 0.894445
[I1203 solver.cpp:310]Iteration 137, loss = 0.806081
[I1203 solver.cpp:310]Iteration 138, loss = 0.726291
[I1203 solver.cpp:310]Iteration 139, loss = 1.015570
[I1203 solver.cpp:310]Iteration 140, loss = 0.914719
[I1203 solver.cpp:310]Iteration 141, loss = 0.823962
[I1203 solver.cpp:310]Iteration 142, loss = 0.742520
[I1203 solver.cpp:310]Iteration 143, loss = 0.669649
[I1203 solver.cpp:310]Iteration 144, loss = 0.604333
[I1203 solver.cpp:310]Iteration 145, loss = 0.545573
[I1203 solver.cpp:310]Iteration 146, loss = 0.492518
[I1203 solver.cpp:310]Iteration 147, loss = 0.444547
[I1203 solver.cpp:310]Iteration 148, loss = 0.439570
[I1203 solver.cpp:310]Iteration 149, loss = 0.396330
[I1203 solver.cpp:310]Iteration 150, loss = 0.887492
[I1203 solver.cpp:310]Iteration 151, loss = 0.882293
[I1203 solver.cpp:310]Iteration 152, loss = 0.794446
[I1203 solver.cpp:310]Iteration 153, loss = 1.297824
[I1203 solver.cpp:310]Iteration 154, loss = 1.168607
[I1203 solver.cpp:310]Iteration 155, loss = 1.052549
[I1203 solver.cpp:310]Iteration 156, loss = 1.671616
[I1203 solver.cpp:310]Iteration 157, loss = 1.505442
[I1203 solver.cpp:310]Iteration 158, loss = 2.025901
[I1203 solver.cpp:310]Iteration 159, loss = 2.099475
[I1203 solver.cpp:310]Iteration 160, loss = 1.890656
[I1203 solver.cpp:310]Iteration 161, loss = 1.702976
[I1203 solver.cpp:310]Iteration 162, loss = 1.534564
[I1203 solver.cpp:310]Iteration 163, loss = 1.383248
[I1203 solver.cpp:310]Iteration 164, loss = 1.247002
[I1203 solver.cpp:310]Iteration 165, loss = 1.212002
[I1203 solver.cpp:310]Iteration 166, loss = 1.092461
[I1203 solver.cpp:310]Iteration 167, loss = 1.376438
[I1203 solver.cpp:310]Iteration 168, loss = 1.244889
[I1203 solver.cpp:310]Iteration 169, loss = 1.121122
[I1203 solver.cpp:310]Iteration 170, loss = 1.009580
[I1203 solver.cpp:310]Iteration 171, loss = 1.220781
[I1203 solver.cpp:310]Iteration 172, loss = 1.099002
[I1203 solver.cpp:310]Iteration 173, loss = 0.989330
[I1203 solver.cpp:310]Iteration 174, loss = 1.512763
[I1203 solver.cpp:310]Iteration 175, loss = 1.361997
[I1203 solver.cpp:310]Iteration 176, loss = 1.264143
[I1203 solver.cpp:310]Iteration 177, loss = 1.138818
[I1203 solver.cpp:310]Iteration 178, loss = 1.026230
[I1203 solver.cpp:310]Iteration 179, loss = 0.924971
[I1203 solver.cpp:310]Iteration 180, loss = 0.833804
[I1203 solver.cpp:310]Iteration 181, loss = 0.751487
[I1203 solver.cpp:310]Iteration 182, loss = 0.681022
[I1203 solver.cpp:310]Iteration 183, loss = 0.613392
[I1203 solver.cpp:310]Iteration 184, loss = 0.614628
[I1203 solver.cpp:310]Iteration 185, loss = 0.553349
[I1203 solver.cpp:310]Iteration 186, loss = 0.498116
[I1203 solver.cpp:310]Iteration 187, loss = 0.448445
[I1203 solver.cpp:310]Iteration 188, loss = 0.657354
[I1203 solver.cpp:310]Iteration 189, loss = 0.688637
[I1203 solver.cpp:310]Iteration 190, loss = 0.899957
[I1203 solver.cpp:310]Iteration 191, loss = 0.845131
[I1203 solver.cpp:310]Iteration 192, loss = 0.761081
[I1203 solver.cpp:310]Iteration 193, loss = 0.855841
[I1203 solver.cpp:310]Iteration 194, loss = 0.770838
[I1203 solver.cpp:310]Iteration 195, loss = 0.694423
[I1203 solver.cpp:310]Iteration 196, loss = 0.625677
[I1203 solver.cpp:310]Iteration 197, loss = 0.563782
[I1203 solver.cpp:310]Iteration 198, loss = 0.507995
[I1203 solver.cpp:310]Iteration 199, loss = 0.457671
[I1203 solver.cpp:310]Iteration 200, loss = 0.412294
[I1203 solver.cpp:310]Iteration 201, loss = 0.450111
[I1203 solver.cpp:310]Iteration 202, loss = 0.405461
