[I1203 solver.cpp:310]Iteration 1, loss = 14.417824
[I1203 solver.cpp:310]Iteration 2, loss = 13.964520
[I1203 solver.cpp:310]Iteration 3, loss = 13.143610
[I1203 solver.cpp:310]Iteration 4, loss = 12.054117
[I1203 solver.cpp:310]Iteration 5, loss = 11.117902
[I1203 solver.cpp:310]Iteration 6, loss = 10.021101
[I1203 solver.cpp:310]Iteration 7, loss = 9.027117
[I1203 solver.cpp:310]Iteration 8, loss = 8.129691
[I1203 solver.cpp:310]Iteration 9, loss = 7.321323
[I1203 solver.cpp:310]Iteration 10, loss = 6.593424
[I1203 solver.cpp:310]Iteration 11, loss = 5.999905
[I1203 solver.cpp:310]Iteration 12, loss = 5.404116
[I1203 solver.cpp:310]Iteration 13, loss = 4.867467
[I1203 solver.cpp:310]Iteration 14, loss = 4.819862
[I1203 solver.cpp:310]Iteration 15, loss = 4.341589
[I1203 solver.cpp:310]Iteration 16, loss = 3.911220
[I1203 solver.cpp:310]Iteration 17, loss = 4.284065
[I1203 solver.cpp:310]Iteration 18, loss = 3.859328
[I1203 solver.cpp:310]Iteration 19, loss = 3.477298
[I1203 solver.cpp:310]Iteration 20, loss = 3.133846
[I1203 solver.cpp:310]Iteration 21, loss = 2.824491
[I1203 solver.cpp:310]Iteration 22, loss = 4.096554
[I1203 solver.cpp:310]Iteration 23, loss = 3.691110
[I1203 solver.cpp:310]Iteration 24, loss = 3.325998
[I1203 solver.cpp:310]Iteration 25, loss = 3.636637
[I1203 solver.cpp:310]Iteration 26, loss = 3.278793
[I1203 solver.cpp:310]Iteration 27, loss = 2.955847
[I1203 solver.cpp:310]Iteration 28, loss = 3.952543
[I1203 solver.cpp:310]Iteration 29, loss = 3.560679
[I1203 solver.cpp:310]Iteration 30, loss = 3.207859
[I1203 solver.cpp:310]Iteration 31, loss = 2.889945
[I1203 solver.cpp:310]Iteration 32, loss = 2.603805
[I1203 solver.cpp:310]Iteration 33, loss = 2.347136
[I1203 solver.cpp:310]Iteration 34, loss = 2.232311
[I1203 solver.cpp:310]Iteration 35, loss = 2.012447
[I1203 solver.cpp:310]Iteration 36, loss = 1.814909
[I1203 solver.cpp:310]Iteration 37, loss = 1.637821
[I1203 solver.cpp:310]Iteration 38, loss = 1.478274
[I1203 solver.cpp:310]Iteration 39, loss = 1.334019
[I1203 solver.cpp:310]Iteration 40, loss = 1.204006
[I1203 solver.cpp:310]Iteration 41, loss = 1.579164
[I1203 solver.cpp:310]Iteration 42, loss = 1.423815
[I1203 solver.cpp:310]Iteration 43, loss = 1.283873
[I1203 solver.cpp:310]Iteration 44, loss = 1.157744
[I1203 solver.cpp:310]Iteration 45, loss = 1.044008
[I1203 solver.cpp:310]Iteration 46, loss = 0.972045
[I1203 solver.cpp:310]Iteration 47, loss = 0.876409
[I1203 solver.cpp:310]Iteration 48, loss = 0.790013
[I1203 solver.cpp:310]Iteration 49, loss = 2.441960
[I1203 solver.cpp:310]Iteration 50, loss = 2.199215
[I1203 solver.cpp:310]Iteration 51, loss = 1.981196
[I1203 solver.cpp:310]Iteration 52, loss = 2.349041
[I1203 solver.cpp:310]Iteration 53, loss = 2.116580
[I1203 solver.cpp:310]Iteration 54, loss = 1.907492
[I1203 solver.cpp:310]Iteration 55, loss = 1.745227
[I1203 solver.cpp:310]Iteration 56, loss = 1.572704
[I1203 solver.cpp:310]Iteration 57, loss = 1.417380
[I1203 solver.cpp:310]Iteration 58, loss = 1.277631
[I1203 solver.cpp:310]Iteration 59, loss = 2.111355
[I1203 solver.cpp:310]Iteration 60, loss = 1.902021
[I1203 solver.cpp:310]Iteration 61, loss = 1.871994
[I1203 solver.cpp:310]Iteration 62, loss = 1.687113
[I1203 solver.cpp:310]Iteration 63, loss = 1.520257
[I1203 solver.cpp:310]Iteration 64, loss = 1.370037
[I1203 solver.cpp:310]Iteration 65, loss = 1.234983
[I1203 solver.cpp:310]Iteration 66, loss = 1.289857
[I1203 solver.cpp:310]Iteration 67, loss = 1.162581
[I1203 solver.cpp:310]Iteration 68, loss = 1.048037
[I1203 solver.cpp:310]Iteration 69, loss = 1.073547
[I1203 solver.cpp:310]Iteration 70, loss = 1.175889
[I1203 solver.cpp:310]Iteration 71, loss = 1.215097
[I1203 solver.cpp:310]Iteration 72, loss = 1.094842
[I1203 solver.cpp:310]Iteration 73, loss = 0.986616
[I1203 solver.cpp:310]Iteration 74, loss = 0.889244
[I1203 solver.cpp:310]Iteration 75, loss = 0.801542
[I1203 solver.cpp:310]Iteration 76, loss = 0.722530
[I1203 solver.cpp:310]Iteration 77, loss = 0.681802
[I1203 solver.cpp:310]Iteration 78, loss = 0.614671
